name;year;price;place;liters;engine_type;transmission_type;drivetrain_type;mileage;car_is_new;normal_price;high_price;no_eval_price
Kia Rio; 2019;1330000;Курган;1.4 л (100 л.с.),;бензин,;АКПП,;передний,;37 тыс. км;0;0;1;0
Kia Rio; 2015;970000;Екатеринбург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;108 тыс. км;0;0;1;0
Kia Rio; 2017;795000;Армавир;1.4 л (100 л.с.),;бензин,;механика,;передний,;89 тыс. км;0;0;0;0
Kia Rio; 2017;1000055;Армавир;1.4 л (107 л.с.),;бензин,;механика,;передний,;93 тыс. км;0;1;0;0
Kia Rio; 2001;235000;Курганинск;1.5 л (96 л.с.),;бензин,;АКПП,;передний,;208 тыс. км;0;0;1;0
Kia Rio; 2013;588000;Москва;1.6 л (123 л.с.),;бензин,;механика,;передний,;230 тыс. км;0;1;0;0
Kia Rio; 2014;770000;Кемерово;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;202 тыс. км;0;1;0;0
Kia Rio; 2016;930000;Дзержинск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;152 тыс. км;0;1;0;0
Kia Rio; 2011;580000;Казань;1.4 л (107 л.с.),;бензин,;механика,;передний,;165 тыс. км;0;1;0;0
Kia Rio; 2020;1900000;Тюмень;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;45 тыс. км;0;0;1;0
Kia Rio; 2016;829000;Санкт-Петербург;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;162 тыс. км;0;0;0;1
Kia Rio; 2014;599000;Томск;1.6 л (123 л.с.),;бензин,;механика,;передний,;84 тыс. км;0;0;0;1
Kia Rio; 2021;1640000;Киселёвск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;7 тыс. км;0;1;0;0
Kia Rio; 2018;1450000;Томск;1.6 л (123 л.с.),;бензин,;механика,;передний,;66 тыс. км;0;0;1;0
Kia Rio; 2021;1539000;Краснодар;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;8 тыс. км;0;1;0;0
Kia Rio; 2018;1200000;Махачкала;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;160 тыс. км;0;0;1;0
Kia Rio; 2020;1528000;Красноярск;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;18 тыс. км;0;1;0;0
Kia Rio; 2012;765000;Астрахань;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;206 тыс. км;0;0;1;0
Kia Rio; 2008;440000;Липецк;1.4 л (97 л.с.),;бензин,;механика,;передний,;167 тыс. км;0;1;0;0
Kia Rio; 2018;1142000;Рязань;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;132 тыс. км;0;1;0;0
Kia Rio; 2018;989000;Краснодар;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;83 тыс. км;0;0;0;0
Kia Rio; 2012;600000;Барнаул;1.6 л (123 л.с.),;бензин,;АКПП,;передний,;235 тыс. км,;0;1;0;0
