,name,year,price,place,liters,engine,transmission,drivetrain,mileage,new,hp,body_type
0,Kia Rio,2019,1330000,Курган,1.4,petrol,automatic,front_wheel,37000,0,100,sedan
1,Kia Rio,2015,970000,Екатеринбург,1.6,petrol,automatic,front_wheel,108000,0,123,sedan
2,Kia Rio,2017,795000,Армавир,1.4,petrol,mechanic,front_wheel,89000,0,100,sedan
3,Kia Rio,2017,1000055,Армавир,1.4,petrol,mechanic,front_wheel,93000,0,107,sedan
4,Kia Rio,2001,235000,Курганинск,1.5,petrol,automatic,front_wheel,208000,0,96,sedan
5,Kia Rio,2013,588000,Москва,1.6,petrol,mechanic,front_wheel,230000,0,123,sedan
6,Kia Rio,2014,770000,Кемерово,1.6,petrol,automatic,front_wheel,202000,0,123,sedan
7,Kia Rio,2016,930000,Дзержинск,1.6,petrol,automatic,front_wheel,152000,0,123,sedan
8,Kia Rio,2011,580000,Казань,1.4,petrol,mechanic,front_wheel,165000,0,107,sedan
9,Kia Rio,2020,1900000,Тюмень,1.6,petrol,automatic,front_wheel,45000,0,123,sedan
10,Kia Rio,2016,829000,Санкт-Петербург,1.6,petrol,automatic,front_wheel,162000,0,123,sedan
11,Kia Rio,2014,599000,Томск,1.6,petrol,mechanic,front_wheel,84000,0,123,sedan
12,Kia Rio,2021,1640000,Киселёвск,1.6,petrol,automatic,front_wheel,7000,0,123,sedan
13,Kia Rio,2018,1450000,Томск,1.6,petrol,mechanic,front_wheel,66000,0,123,sedan
14,Kia Rio,2021,1539000,Краснодар,1.6,petrol,automatic,front_wheel,8000,0,123,sedan
15,Kia Rio,2018,1200000,Махачкала,1.6,petrol,automatic,front_wheel,160000,0,123,sedan
16,Kia Rio,2020,1528000,Красноярск,1.6,petrol,automatic,front_wheel,18000,0,123,sedan
17,Kia Rio,2012,765000,Астрахань,1.6,petrol,automatic,front_wheel,206000,0,123,sedan
18,Kia Rio,2008,440000,Липецк,1.4,petrol,mechanic,front_wheel,167000,0,97,sedan
19,Kia Rio,2018,1142000,Рязань,1.6,petrol,automatic,front_wheel,132000,0,123,sedan
20,Kia Rio,2018,989000,Краснодар,1.6,petrol,automatic,front_wheel,83000,0,123,sedan
21,Kia Rio,2012,600000,Барнаул,1.6,petrol,automatic,front_wheel,235000,0,123,sedan
22,Kia Rio,2012,720134,Вологда,1.6,petrol,mechanic,front_wheel,120000,0,123,sedan
23,Kia Rio,2020,1600000,Братск,1.6,petrol,automatic,front_wheel,17000,0,123,sedan
24,Kia Rio,2013,839000,Тюмень,1.6,petrol,mechanic,front_wheel,141000,0,123,sedan
25,Kia Rio,2021,1530000,Москва,1.6,petrol,automatic,front_wheel,56000,0,123,sedan
26,Kia Rio,2019,1350000,Красноярск,1.6,petrol,automatic,front_wheel,38000,0,123,sedan
27,Kia Rio,2019,1300000,Новосибирск,1.6,petrol,automatic,front_wheel,32000,0,123,sedan
28,Kia Rio,2014,735000,Пермь,1.4,petrol,mechanic,front_wheel,166000,0,107,sedan
29,Kia Rio,2019,1247000,Новосибирск,1.6,petrol,automatic,front_wheel,61000,0,123,sedan
30,Kia Rio,2013,690000,Новосибирск,1.6,petrol,automatic,front_wheel,199000,0,123,sedan
31,Kia Rio,2013,660000,Мурманск,1.4,petrol,mechanic,front_wheel,216000,0,107,sedan
32,Kia Rio,2015,698000,Красноярск,1.4,petrol,mechanic,front_wheel,144000,0,107,sedan
33,Kia Rio,2016,1000000,Нефтеюганск,1.6,petrol,mechanic,front_wheel,76000,0,123,sedan
34,Kia Rio,2014,675000,Керчь,1.6,petrol,mechanic,front_wheel,193000,0,123,sedan
35,Kia Rio,2019,1399000,Москва,1.6,petrol,automatic,front_wheel,40000,0,123,sedan
36,Kia Rio,2020,1419000,Курган,1.6,petrol,automatic,front_wheel,14000,0,123,sedan
37,Kia Rio,2016,749000,Новокузнецк,1.6,petrol,automatic,front_wheel,167000,0,123,sedan
38,Kia Rio,2018,1150000,Симферополь,1.6,petrol,automatic,front_wheel,115000,0,123,sedan
39,Kia Rio,2019,1429000,Москва,1.6,petrol,automatic,front_wheel,50000,0,123,sedan
40,Kia Rio,2014,799000,Екатеринбург,1.4,petrol,automatic,front_wheel,149000,0,107,sedan
41,Kia Rio,2004,225000,Бахчисарай,1.5,petrol,mechanic,front_wheel,190000,0,95,sedan
42,Kia Rio,2020,1560000,Тюмень,1.6,petrol,automatic,front_wheel,60000,0,123,sedan
43,Kia Rio,2019,850000,Иласхан-Юрт,1.6,petrol,automatic,front_wheel,33000,0,123,sedan
44,Kia Rio,2014,649000,Кунгур,1.6,petrol,mechanic,front_wheel,183000,0,123,sedan
45,Kia Rio,2014,850000,Тюмень,1.6,petrol,mechanic,front_wheel,165000,0,123,sedan
46,Kia Rio,2019,1195000,Белово,1.6,petrol,automatic,front_wheel,80000,0,123,sedan
47,Kia Rio,2017,1189000,Сургут,1.6,petrol,automatic,front_wheel,69000,0,123,sedan
48,Kia Rio,2017,699777,Кемерово,1.4,petrol,mechanic,front_wheel,95000,0,107,sedan
49,Kia Rio,2019,1350000,Москва,1.4,petrol,automatic,front_wheel,108000,0,100,sedan
50,Kia Rio,2019,1205000,Москва,1.4,petrol,automatic,front_wheel,110000,0,100,sedan
51,Kia Rio,2019,1250000,Москва,1.4,petrol,automatic,front_wheel,113000,0,100,sedan
52,Kia Rio,2013,745000,Москва,1.6,petrol,mechanic,front_wheel,165000,0,123,sedan
53,Kia Rio,2013,749990,Пермь,1.6,petrol,automatic,front_wheel,165000,0,123,sedan
54,Kia Rio,2021,1750000,Иркутск,1.6,petrol,automatic,front_wheel,40000,0,123,sedan
55,Kia Rio,2011,759000,Новочеркасск,1.6,petrol,automatic,front_wheel,172000,0,123,sedan
56,Kia Rio,2021,1789700,Магнитогорск,1.6,petrol,automatic,front_wheel,31000,0,123,sedan
57,Kia Rio,2020,1500000,Нягань,1.6,petrol,automatic,front_wheel,22000,0,123,sedan
58,Kia Rio,2019,1249000,Абакан,1.6,petrol,automatic,front_wheel,86000,0,123,sedan
